no,group,indicator,source,date,Edinburgh,Almond,Pentland Hills,Drum Brae Gyle,Forth,Inverleith,Corstorphine Murrayfield,Sighthill Gorgie,Colinton Fairmilehead,Fountainbridge Craiglockhart,Meadows Morningside,City Centre,Leith Walk,Leith ,Craigentinny Duddingston,Southside Newington,Liberton Gilmerton,Portobello Craigmillar,North West,Leith and East,City Centre and South,South West
447,Banking behavior,No current account (%),Mosaic,2014-08,0.050762019,0.039465513,0.048112998,0.043778132,0.070024161,0.040363432,0.036721012,0.071452166,0.042298834,0.042364911,0.039529148,0.042643408,0.045852012,0.050233545,0.057287492,0.044887962,0.065832057,0.067979451,0.047502678,0.054114914,0.048243056,0.054008164
448,,,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Online behavior,Don't manage utilities online (%),Mosaic,2014-08,0.170586965,0.190375643,0.203094626,0.189600801,0.200285884,0.175415164,0.175561828,0.178559159,0.192410495,0.136608244,0.141122725,0.128970516,0.125996688,0.147401459,0.195931791,0.142186809,0.206172183,0.210117949,0.186524645,0.164551087,0.154944692,0.175328854
462,Online behavior,Don't bank online (%),Mosaic,2014-08,0.146415832,0.15997224,0.170847633,0.160069417,0.170130767,0.154428852,0.158557083,0.148446696,0.16060604,0.119159746,0.123389946,0.104919012,0.11332401,0.12844459,0.17116353,0.123546284,0.176104536,0.177996124,0.160857375,0.143540528,0.132454933,0.147644492
463,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Communications channel preference,Contact them: Mobile (%),Mosaic,2014-08,0.008808832,0.007786179,0.006953599,0.009289173,0.009654621,0.009448705,0.009764028,0.007899284,0.008146216,0.008503444,0.0091634,0.008242268,0.00773326,0.00839507,0.009191666,0.009465256,0.009842466,0.01008351,0.009234,0.008715373,0.009205592,0.007933051
465,Communications channel preference,Contact them: SMS (%),Mosaic,2014-08,0.020334389,0.01382601,0.012480448,0.015953596,0.019810813,0.019050026,0.017107056,0.021074444,0.015322317,0.024739947,0.025277272,0.026359888,0.024296067,0.023741412,0.017191358,0.025826589,0.016720915,0.017618603,0.017504923,0.021176927,0.023526017,0.019268989
466,Communications channel preference,Contact them: Email (%),Mosaic,2014-08,0.687940089,0.676738767,0.675200857,0.677816305,0.679171101,0.688772293,0.683270463,0.687180382,0.679974163,0.701528305,0.703102609,0.710740438,0.702778079,0.699803808,0.672020601,0.701375444,0.667304388,0.668540314,0.681617019,0.688024881,0.695407031,0.687135836
467,Communications channel preference,Contact them: Post (%),Mosaic,2014-08,0.127324842,0.143093666,0.14348483,0.137630889,0.131262173,0.128230447,0.135498169,0.124060178,0.142679152,0.115976389,0.116898127,0.104142745,0.110964571,0.114100181,0.13959307,0.117368154,0.143058001,0.141545053,0.134282587,0.124522752,0.120690197,0.129355438
468,Communications channel preference,Contact them: Landline (%),Mosaic,2014-08,0.012900454,0.015931254,0.020030269,0.015127545,0.019143602,0.013248363,0.014282171,0.014228207,0.014243062,0.007992313,0.009235271,0.007655673,0.005687827,0.008382965,0.014258503,0.010153126,0.018136109,0.017159287,0.015644721,0.010671867,0.011350807,0.013707374
469,Communications channel preference,Do not contact them (%),Mosaic,2014-08,0.142408853,0.142000512,0.14169383,0.14357759,0.140414287,0.141152305,0.139990664,0.145177759,0.139546732,0.141083791,0.136303717,0.14229537,0.148525958,0.145364355,0.147450989,0.135789426,0.144286247,0.144688283,0.141335141,0.146688373,0.139518923,0.142370552
470,,,,,,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Contact preference,Want to contact by: Telephone (%),Mosaic,2014-08,0.210802081,0.217797397,0.221052606,0.21969048,0.226990132,0.222255588,0.219047616,0.208414057,0.219380875,0.192945018,0.200665452,0.194253968,0.1869938,0.199577607,0.219990628,0.198287014,0.226491574,0.227815322,0.221709466,0.206048443,0.205049436,0.209075548
482,Contact preference,Want to contact by: Email (%),Mosaic,2014-08,0.312854869,0.307846146,0.30636077,0.308092972,0.314598832,0.311895168,0.311900708,0.314121555,0.309503739,0.317402764,0.31703018,0.320258963,0.315117126,0.32078063,0.306724761,0.317652219,0.305322875,0.305573408,0.311226992,0.312690018,0.314994348,0.312603441
483,Contact preference,Want to contact by: Online (%),Mosaic,2014-08,0.238853805,0.226269544,0.220516668,0.224139052,0.207135743,0.225840418,0.222645356,0.241231095,0.218066585,0.269048959,0.256571191,0.276841315,0.28377499,0.255407812,0.218111111,0.257835342,0.214085786,0.208809652,0.220513485,0.246313345,0.250851366,0.239685809
484,Contact preference,Want to contact by: Post (%),Mosaic,2014-08,0.134965609,0.148699237,0.145526822,0.145681839,0.140666527,0.14144321,0.146855108,0.126529999,0.153625434,0.122917647,0.128990831,0.113622444,0.11618566,0.124560061,0.14567676,0.126678053,0.14496571,0.146937372,0.144080723,0.131299981,0.128902506,0.134621095
485,Contact preference,Want to contact by: Branch (%),Mosaic,2014-08,0.088455379,0.085611464,0.09061246,0.086765715,0.091249736,0.08504323,0.085420202,0.092545451,0.084011551,0.087899891,0.087777355,0.08648513,0.088642935,0.086724887,0.09071782,0.089604404,0.090645099,0.090886868,0.0870176,0.089087866,0.08868938,0.089274701
486,Contact preference,Want to contact by: Other (%),Mosaic,2014-08,0.014068257,0.013776212,0.015930674,0.015629942,0.01935903,0.013522386,0.014131011,0.017157842,0.015411816,0.009785721,0.008964991,0.00853818,0.009285489,0.012949002,0.018778919,0.009942969,0.018488956,0.019977378,0.015451735,0.014560347,0.011512963,0.014739405
487,,,,,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Unpaid care provided,Provide no unpaid care (%),Mosaic,2014-08,0.920253053,0.901742217,0.900059629,0.903434028,0.912894397,0.918706065,0.909379173,0.924223852,0.904221007,0.932876446,0.933966219,0.941910621,0.940573758,0.931013097,0.912531342,0.933219461,0.90484113,0.908735042,0.910300688,0.925258778,0.928271278,0.917941266
502,Unpaid care provided,Provide 1 to 19 hours unpaid care weekly (%),Mosaic,2014-08,0.049243548,0.062351959,0.061352823,0.059303555,0.047614016,0.05468589,0.059479012,0.03995017,0.06143742,0.044470708,0.046480972,0.040526888,0.038808157,0.042810047,0.051664381,0.044744542,0.051843511,0.050348851,0.055807512,0.045099409,0.046016263,0.049334713
503,Unpaid care provided,Provide 20 to 49 hours unpaid care weekly (%),Mosaic,2014-08,0.01281818,0.014373088,0.015385186,0.015025087,0.016043509,0.011265911,0.012828499,0.014919609,0.013889261,0.010263973,0.008912715,0.008367949,0.009760805,0.011694261,0.014663824,0.009769046,0.017122945,0.016392464,0.013856914,0.012725571,0.011072796,0.013627788
504,Unpaid care provided,Provide 50+ hours unpaid care weekly (%),Mosaic,2014-08,0.017685219,0.021532736,0.023202362,0.02223733,0.023448078,0.015342134,0.018313316,0.020906368,0.020452311,0.012388873,0.010640094,0.009194542,0.01085728,0.014482596,0.021140453,0.01226695,0.026192414,0.024523643,0.020034887,0.016916242,0.014639663,0.019096233
505,,,,,,,,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Health and wellbeing,Self diagnosed: asthma (%),Mosaic,2014-08,0.115649747,0.105361141,0.114609468,0.10935727,0.132934138,0.099908032,0.101907265,0.138439703,0.109693117,0.111330969,0.104029202,0.109132315,0.113451298,0.117256949,0.122390301,0.111265515,0.123303448,0.128731491,0.110882748,0.119588761,0.111932392,0.121486128
522,Health and wellbeing,Self diagnosed: arthritis (%),Mosaic,2014-08,0.14952026,0.17982934,0.186552541,0.179686119,0.167858457,0.154941711,0.173058177,0.144355022,0.1722527,0.118714411,0.11555584,0.094751345,0.110045107,0.128516686,0.177199145,0.119599764,0.194142209,0.179115173,0.169450313,0.144112597,0.131604578,0.151242418
523,Health and wellbeing,Self diagnosed: rheumatism (%),Mosaic,2014-08,0.030220442,0.033643802,0.035589759,0.034440558,0.035285067,0.031037529,0.034687377,0.030392525,0.033941644,0.024417215,0.022745707,0.019914436,0.024715273,0.028360508,0.035886956,0.023251294,0.037548144,0.035866833,0.033684545,0.030457445,0.025946174,0.030561673
524,Health and wellbeing,Self diagnosed: high blood pressure (%),Mosaic,2014-08,0.174988692,0.222996473,0.224349848,0.215432547,0.185600358,0.202763891,0.217426137,0.144188736,0.217019039,0.13813539,0.151204602,0.118317701,0.116637497,0.140537888,0.202440544,0.146814688,0.215530121,0.199141746,0.206494789,0.159050295,0.158709782,0.172020543
525,Health and wellbeing,Self diagnosed: poor blood circulation (%),Mosaic,2014-08,0.053850791,0.051996467,0.05439453,0.055726273,0.065481248,0.059679686,0.057665101,0.055021091,0.053805654,0.044013608,0.048993896,0.044489135,0.041531243,0.049546823,0.060770368,0.049121046,0.063444868,0.063116498,0.058795369,0.052353757,0.051627608,0.051912779
526,Health and wellbeing,Self diagnosed: hearing problems (%),Mosaic,2014-08,0.072428601,0.09575006,0.097844086,0.09202446,0.076427066,0.077029255,0.090471316,0.063611645,0.09274627,0.058443238,0.058033939,0.042684209,0.047270265,0.052562725,0.087488419,0.061082961,0.091635006,0.085863324,0.08477004,0.065636774,0.063788807,0.074445139
527,Health and wellbeing,Self diagnosed: high cholesterol (%),Mosaic,2014-08,0.121677074,0.141657373,0.143836266,0.135870453,0.125572121,0.151663915,0.142906108,0.102729083,0.137338526,0.096729581,0.11462828,0.103396899,0.090280589,0.101766665,0.130971832,0.106867283,0.145383932,0.132709391,0.139475328,0.111117241,0.117725384,0.115711842
528,Health and wellbeing,Self diagnosed: heart problems (%),Mosaic,2014-08,0.056559524,0.063407064,0.066242509,0.06574991,0.064336572,0.067444148,0.066603808,0.050767915,0.060805896,0.043341021,0.04741791,0.04120429,0.04088168,0.048935632,0.066709648,0.045853693,0.071872897,0.066399868,0.065560722,0.054007904,0.051719964,0.053746501
529,Health and wellbeing,Self diagnosed: diabetes (%),Mosaic,2014-08,0.075009667,0.077044938,0.080390253,0.077907113,0.075481926,0.074493205,0.077744976,0.077045781,0.074527674,0.070809516,0.065792246,0.065791491,0.077388172,0.074629549,0.082369436,0.066429024,0.083567861,0.077806348,0.076265918,0.07789405,0.070411414,0.075563101
530,Health and wellbeing,Self diagnosed: depression (%),Mosaic,2014-08,0.127531112,0.096127697,0.114348317,0.107399208,0.169206986,0.100272385,0.100380756,0.178802591,0.107934643,0.118034503,0.101192928,0.113130267,0.128389499,0.136634638,0.140660167,0.115530742,0.143489657,0.156939425,0.117739805,0.139149759,0.118292881,0.137505112
531,Health and wellbeing,Takeaway once a week or more (%),Mosaic,2014-08,0.093634075,0.083775575,0.088231696,0.089395333,0.113051081,0.084221426,0.078230623,0.11407544,0.087649342,0.086379771,0.082777785,0.089830651,0.089593929,0.098206938,0.097085937,0.084777316,0.102200041,0.108227258,0.091151861,0.097319405,0.089765338,0.097098567
532,Health and wellbeing,Heavy smokers (%),Mosaic,2014-08,0.026319104,0.014113782,0.022292476,0.018176296,0.038446861,0.020291768,0.016679552,0.041048502,0.016182146,0.02359695,0.019097333,0.022731135,0.030609433,0.031100795,0.030648347,0.020938206,0.030872932,0.035313082,0.022764011,0.031717577,0.023355954,0.028209269
533,Health and wellbeing,Alcohol once a day (%),Mosaic,2014-08,0.086335221,0.114887844,0.111899364,0.097986171,0.076248509,0.10937868,0.115357283,0.057994028,0.119364568,0.076856121,0.092186647,0.07264168,0.064842755,0.066126215,0.088995662,0.08468893,0.081351171,0.081777701,0.101235655,0.074098905,0.083063629,0.084997744
534,Health and wellbeing,Alcohol two to three times a week (%),Mosaic,2014-08,0.274762974,0.305355184,0.291153002,0.279491208,0.23714769,0.310824531,0.302815147,0.216279214,0.305998705,0.287115078,0.322407155,0.293931058,0.268019166,0.264327252,0.250689591,0.29829469,0.23894846,0.235774686,0.285239143,0.256511089,0.288665714,0.265846319
535,Health and wellbeing,Alcohol once a week  (%),Mosaic,2014-08,0.146548439,0.133406413,0.135401602,0.138116807,0.140117033,0.138993902,0.133096411,0.156481162,0.132046913,0.156076423,0.151809112,0.167513568,0.165367021,0.1540255,0.139067037,0.1536843,0.135600721,0.136919257,0.137212387,0.150694854,0.151798491,0.147569663
536,Health and wellbeing,No participation in sport (%),Mosaic,2014-08,0.703361258,0.716216543,0.718710738,0.729219534,0.724135933,0.708438699,0.720931117,0.702478765,0.700638951,0.680951182,0.668279545,0.66284702,0.679124018,0.701038079,0.723042671,0.673754793,0.747558924,0.728071941,0.719100905,0.704677801,0.688355538,0.699613799
537,Health and wellbeing,Less than 1 hour of sport per week (%),Mosaic,2014-08,0.074765962,0.069398131,0.072088036,0.066342307,0.076225381,0.066456821,0.064837217,0.084116956,0.073729774,0.079262728,0.078168723,0.081712181,0.080845085,0.075172778,0.070811923,0.079172254,0.067598621,0.07403486,0.069098737,0.075744806,0.076590164,0.078615725
538,Health and wellbeing,1 to 2 hours of sport per week (%),Mosaic,2014-08,0.070942493,0.061971195,0.061825566,0.063617196,0.067164049,0.06543156,0.062629633,0.076173179,0.064803024,0.078729211,0.074715866,0.080591228,0.084332713,0.079814734,0.068955277,0.074527291,0.060246123,0.065614148,0.064508527,0.075857087,0.072370772,0.071904095
539,Health and wellbeing,2 to 4 hours of sport per week (%),Mosaic,2014-08,0.067788859,0.064395229,0.064020663,0.062575549,0.062591654,0.069900391,0.064971099,0.064835461,0.067863746,0.072466482,0.07759145,0.07869123,0.07212038,0.067949457,0.063260846,0.075266904,0.05667481,0.061708556,0.065139791,0.06691731,0.071985248,0.067221299
540,Health and wellbeing,4 or more hours of sport per week (%),Mosaic,2014-08,0.083170907,0.088081474,0.083354997,0.078293837,0.069949839,0.089780089,0.086630934,0.072434957,0.092964506,0.088612303,0.101246862,0.096240332,0.083579271,0.07605283,0.073963395,0.097280415,0.067986961,0.070606477,0.08218936,0.076825635,0.090734254,0.082664921
541,Health and wellbeing,No exercise taken (%),Mosaic,2014-08,0.411575089,0.411985626,0.409333152,0.429009838,0.430874417,0.386225872,0.408610269,0.433264971,0.394921465,0.40093268,0.37559276,0.375076128,0.402022282,0.411871069,0.432218079,0.395904704,0.460366345,0.440528203,0.412380266,0.419275487,0.402101971,0.413001685
542,Health and wellbeing,Less than 1 hour of exercise per week (%),Mosaic,2014-08,0.085146678,0.090461247,0.092040642,0.087120871,0.090900565,0.084368355,0.083795581,0.083775339,0.091724074,0.081220381,0.088925567,0.081766278,0.072499469,0.077495236,0.08388801,0.087504622,0.088651529,0.089161742,0.087403694,0.079774644,0.086861443,0.086254581
543,Health and wellbeing,1 to 2 hours of exercise per week (%),Mosaic,2014-08,0.154335897,0.158023105,0.161602093,0.154552328,0.160255241,0.170859119,0.161138191,0.147475693,0.167368628,0.144411221,0.15711223,0.154678582,0.142349806,0.149132339,0.153987101,0.147879835,0.148011063,0.155767295,0.161756408,0.149460861,0.151827831,0.153345051
544,Health and wellbeing,2 to 4 hours of exercise per week (%),Mosaic,2014-08,0.139155911,0.143161233,0.140223452,0.137076011,0.126483254,0.15152505,0.144965368,0.122810622,0.143541359,0.14466629,0.155568322,0.15496015,0.141026449,0.138796093,0.129775005,0.148510337,0.122327356,0.12462283,0.140454701,0.134536167,0.145231698,0.135652304
545,Health and wellbeing,4 or more hours of exercise per week (%),Mosaic,2014-08,0.209951366,0.196718881,0.196800662,0.192511885,0.191860585,0.2070639,0.201490592,0.212893364,0.202444474,0.228891995,0.222814801,0.233977606,0.242110201,0.222861245,0.200322661,0.220209777,0.181009841,0.190121247,0.198213736,0.217079501,0.214178351,0.211857381
546,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,
553,,,,,,,,,,,,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,,,,,,,,,,,,,,,,,
556,,,,,,,,,,,,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,,,
559,,,,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Employment / professional classification,Total,Census,2011-03,236912,12128,10726,11316,15607,16537,11481,18134,11447,13356,16684,12694,20126,14469,12861,13246,14894,11206,67069,58662,57518,53663
562,Employment / professional classification,"Managers, directors, senior officials",Census,2011-03,22664,1454,1054,1043,1329,2083,1368,973,1354,1286,1690,1511,1686,1413,1023,1265,1195,937,7277,5059,5661,4667
563,Employment / professional classification,Professional occupations,Census,2011-03,60676,2871,2425,2326,2942,5822,3075,2865,3198,4150,6636,3915,5144,3400,2436,4664,2766,2041,17036,13021,17981,12638
564,Employment / professional classification,Associate professional and technical,Census,2011-03,35609,1840,1489,1636,1989,2913,1818,2280,1865,2222,2688,2315,3381,2399,1842,1874,1622,1436,10196,9058,8499,7856
565,Employment / professional classification,Administrative and secretarial,Census,2011-03,28002,1618,1397,1835,1745,1706,1618,2486,1414,1517,1384,1081,2307,1542,1904,1225,1871,1352,8522,7105,5561,6814
566,Employment / professional classification,Skilled trades,Census,2011-03,17545,1002,925,969,1375,888,833,1669,711,764,628,579,1474,1143,1179,633,1646,1127,5067,4923,3486,4069
567,Employment / professional classification,"Caring, leisure and other service",Census,2011-03,18771,917,956,955,1588,889,817,1795,883,833,859,692,1485,1141,1172,883,1715,1191,5166,4989,4149,4467
568,Employment / professional classification,Sales and customer service,Census,2011-03,19712,953,961,1093,1473,892,835,1909,862,990,1192,1027,1610,1225,1223,1093,1296,1078,5246,5136,4608,4722
569,Employment / professional classification,"Process, plant and machine operatives",Census,2011-03,8868,525,563,554,843,362,386,1015,406,311,205,191,525,530,655,265,902,630,2670,2340,1563,2295
570,Employment / professional classification,Elementary occupations,Census,2011-03,25065,948,956,905,2323,982,731,3142,754,1283,1402,1383,2514,1676,1427,1344,1881,1414,5889,7031,6010,6135
571,Employment / professional classification,Self-employed total (aged 16+),Census,2011-03,30142,1750,1381,1286,1820,2634,1650,1368,1583,1411,2477,2167,2157,1736,1496,1932,1790,1504,9140,6893,8366,5743
572,Employment / professional classification,Self employed with employees (aged 16+),Census,2011-03,22780,1228,1017,958,1371,1921,1191,1131,1087,1082,1805,1706,1798,1401,1133,1436,1370,1145,6669,5477,6317,4317
573,Employment / professional classification,Self employed without employees (aged 16+),Census,2011-03,7362,522,364,328,449,713,459,237,496,329,672,461,359,335,363,496,420,359,2471,1416,2049,1426
574,,,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Edinburgh People Survey,Total respondents,EPS,2015-01,5125,309,287,305,350,289,274,349,256,238,305,263,324,300,311,321,327,317,1527,1252,1216,1130
593,Edinburgh People Survey,"Sat. management, city",EPS,2015-01,3411,208,191,184,156,182,198,206,186,184,229,179,232,190,232,240,214,200,928,854,862,767
594,Edinburgh People Survey,"Sat. management, n'hood",EPS,2015-01,3877,249,220,233,206,226,238,236,214,193,250,188,243,220,248,270,209,234,1152,945,917,863
595,Edinburgh People Survey,Sat. city as a place to live,EPS,2015-01,4580,294,254,271,217,246,252,298,246,228,296,245,309,253,293,309,299,270,1280,1125,1149,1026
596,Edinburgh People Survey,Sat. n'hood as a place to live,EPS,2015-01,4515,294,250,262,279,274,254,267,238,223,298,243,282,265,291,303,229,263,1363,1101,1073,978
597,,,,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Scottish Index of Multiple Deprivation,Number of datazones,SIMD,2012-08,549,31,26,27,35,36,27,45,31,27,43,26,31,23,34,38,40,29,156,117,147,129
613,Scottish Index of Multiple Deprivation,Drive time accessibility deprived 15%,SIMD,2012-08,11,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,6
614,Scottish Index of Multiple Deprivation,Public transport deprived 15%,SIMD,2012-08,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2
615,Scottish Index of Multiple Deprivation,Accessibility deprived 15%,SIMD,2012-08,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
616,Scottish Index of Multiple Deprivation,Crime deprived 15%,SIMD,2012-08,85,3,3,1,14,2,0,10,1,3,1,9,1,10,4,3,11,9,20,24,24,17
617,Scottish Index of Multiple Deprivation,Education deprived 15%,SIMD,2012-08,78,0,3,1,15,2,0,16,0,1,0,1,1,6,8,0,13,11,18,26,14,20
618,Scottish Index of Multiple Deprivation,Employment deprived 15%,SIMD,2012-08,46,0,2,0,11,0,0,10,1,0,0,0,0,3,5,0,5,9,11,17,5,13
619,Scottish Index of Multiple Deprivation,Health deprived 15%,SIMD,2012-08,47,0,3,0,12,0,0,9,0,0,0,0,0,6,3,0,6,8,12,17,6,12
620,Scottish Index of Multiple Deprivation,Housing deprived 15%,SIMD,2012-08,177,0,0,4,9,7,3,15,3,13,19,15,27,14,7,16,14,11,23,59,64,31
621,Scottish Index of Multiple Deprivation,Income deprived 15%,SIMD,2012-08,50,0,3,0,10,1,0,12,2,0,0,0,0,4,2,0,7,9,11,15,7,17
622,Scottish Index of Multiple Deprivation,Deprived 15% overall,SIMD,2012-08,54,0,3,0,11,1,0,12,1,0,0,0,0,5,4,0,7,10,12,19,7,16
623,,,,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,,,,,,,,,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Poverty,Hh on low income (after housing costs),LIMP,2013-01,49059.9584,1788.565343,1907.957994,1920.420434,4136.454337,2564.715346,1790.73705,5094.710808,1895.01385,2449.677812,3302.493953,2727.448638,2622.468496,3906.400287,2937.911893,3326.378664,3664.030464,3024.573032,12200.89251,12491.35371,13020.35172,11347.36046
632,Poverty,Children in low income households,CPAG,2014-01,20472.08531,789.0021734,991.396013,875.2415763,2343.3776,889.3190339,515.1324243,2511.177712,718.0668802,531.2986807,694.2616771,698.5756927,1063.823199,1109.592132,1157.141628,1095.3818,2088.339482,1687.197307,5412.072808,5017.754266,4576.558652,4751.939286
633,,,,,,,,,,,,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,
636,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Antisocial behaviour actions,FPN - Dog fouling - 2013/14,CEC,2014,232,11,7,22,55,4,3,39,8,2,2,4,1,4,35,5,10,20,95,60,21,56
642,Antisocial behaviour actions,FPN - Dog fouling - 2012/13,CEC,2013,291,15,13,20,54,20,6,64,6,5,1,1,9,11,31,6,13,16,115,67,21,88
643,Antisocial behaviour actions,FPN - Dog fouling - 2011/12,CEC,2012,270,5,3,19,88,10,27,22,4,10,3,3,4,7,10,4,31,20,149,41,41,39
644,,,,,,,,,,,,,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,,,,,,
